Movie_id,Title,Release Date
36809,12 Years a Slave,"October 18, 2013"
30114,127 Hours,"November 5, 2010"
37367,50/50,"September 30, 2011"
49473,About Time,"September 4, 2013"
14867,Amour,"December 19, 2012"
33832,Argo,"October 12, 2012"
31722,Arrival,"November 11, 2016"
25398,Before Midnight,"May 24, 2013"
10099,Big Hero 6,"November 7, 2014"
25281,Birdman or (The Unexpected Virtue of Ignorance),"October 17, 2014"
43358,Black Swan,"December 3, 2010"
36798,Boyhood,"July 11, 2014"
10617,Bridge of Spies,"October 16, 2015"
49590,Captain America: Civil War,"May 6, 2016"
12560,Captain America: The Winter Soldier,"April 4, 2014"
31370,Captain Fantastic,"July 8, 2016"
48626,Captain Phillips,"October 11, 2013"
38131,Creed,"November 25, 2015"
34191,Dallas Buyers Club,"November 1, 2013"
20341,Dawn of the Planet of the Apes,"July 11, 2014"
18506,Deadpool,"February 12, 2016"
38960,Despicable Me,"July 9, 2010"
43526,Detachment,"March 16, 2012"
10015,Disconnect,"April 12, 2013"
11971,Django Unchained,"December 25, 2012"
31332,Doctor Strange,"November 4, 2016"
22607,Drive,"September 16, 2011"
33884,Edge of Tomorrow,"June 6, 2014"
21508,End of Watch,"September 21, 2012"
30161,Ex Machina,"April 10, 2015"
49518,Flipped,"August 6, 2010"
12164,Fury,"October 17, 2014"
13277,Gone Girl,"October 3, 2014"
30401,Gravity,"October 4, 2013"
11289,Guardians of the Galaxy,"August 1, 2014"
47403,Hacksaw Ridge,"November 4, 2016"
21411,Harry Potter and the Deathly Hallows: Part 1,"November 19, 2010"
44738,Hell or High Water,"August 12, 2016"
21768,Her,"December 18, 2013"
11173,Hidden Figures,"December 25, 2016"
37652,How to Train Your Dragon 2,"June 13, 2014"
48102,How to Train Your Dragon,"March 26, 2010"
23450,Hugo,"November 23, 2011"
23963,Hunt for the Wilderpeople,"June 24, 2016"
29611,"I, Daniel Blake","October 21, 2016"
46824,Inception,"July 16, 2010"
42732,Inside Out,"June 19, 2015"
46900,Interstellar,"November 7, 2014"
45231,Kick-Ass,"April 16, 2010"
47579,Kingsman: The Secret Service,"February 13, 2015"
26118,Kubo and the Two Strings,"August 19, 2016"
31069,La La Land,"December 9, 2016"
41512,Les Misérables,"December 25, 2012"
47616,Lion,"November 25, 2016"
18458,Lone Survivor,"December 25, 2013"
36478,Mad Max: Fury Road,"May 15, 2015"
22767,Manchester by the Sea,"November 18, 2016"
30146,Me and Earl and the Dying Girl,"June 12, 2015"
13316,Midnight in Paris,"May 20, 2011"
13310,Moana,"November 23, 2016"
48554,Moneyball,"September 23, 2011"
29635,Moonrise Kingdom,"May 25, 2012"
43350,Nebraska,"November 15, 2013"
34073,Nightcrawler,"October 31, 2014"
23417,Philomena,"November 22, 2013"
12744,Pride,"September 12, 2014"
37979,Prisoners,"September 20, 2013"
41592,Rise of the Planet of the Apes,"August 5, 2011"
44253,Rogue One,"December 16, 2016"
11928,Rush,"September 27, 2013"
26438,Scott Pilgrim vs. the World,"August 13, 2010"
30154,Short Term 12,"August 23, 2013"
36011,Shutter Island,"February 19, 2010"
13627,Sicario,"October 2, 2015"
17294,Silver Linings Playbook,"November 16, 2012"
41048,Sing Street,"April 15, 2016"
47323,Skyfall,"November 9, 2012"
28910,Spotlight,"November 6, 2015"
28919,Star Trek Into Darkness,"May 17, 2013"
38626,Star Wars: The Force Awakens,"December 18, 2015"
14813,Straight Outta Compton,"August 14, 2015"
42419,Tangled,"November 24, 2010"
34386,The Artist,"November 25, 2011"
10454,The Avengers,"May 4, 2012"
21538,The Big Short,"December 11, 2015"
39777,The Book Thief,"November 8, 2013"
29419,The Dark Knight Rises,"July 20, 2012"
42727,The Fault in Our Stars,"June 6, 2014"
44160,The Fighter,"December 17, 2010"
28130,The Girl with the Dragon Tattoo,"December 21, 2011"
22401,The Grand Budapest Hotel,"March 28, 2014"
34429,The Help,"August 10, 2011"
41835,The Hobbit: An Unexpected Journey,"December 14, 2012"
30250,The Hobbit: The Desolation of Smaug,"December 13, 2013"
41963,The Hunger Games: Catching Fire,"November 22, 2013"
45458,The Imitation Game,"November 28, 2014"
35832,The King's Speech,"December 25, 2010"
47074,The Lego Movie,"February 7, 2014"
40310,The Little Prince,"August 5, 2016"
24887,The Martian,"October 2, 2015"
31592,The Perks of Being a Wallflower,"September 21, 2012"
29441,The Revenant,"December 25, 2015"
39456,The Social Network,"October 1, 2010"
40287,The Theory of Everything,"November 7, 2014"
32701,The Town,"September 17, 2010"
35004,The Wolf of Wall Street,"December 25, 2013"
40832,Toy Story 3,"June 18, 2010"
44316,True Grit,"December 22, 2010"
20420,Tucker and Dale vs Evil,"September 30, 2011"
20709,Tyrannosaur,"October 7, 2011"
17545,Warrior,"September 9, 2011"
35939,What We Do in the Shadows,"February 13, 2015"
38262,Whiplash,"October 10, 2014"
10023,Wreck-It Ralph,"November 2, 2012"
27783,X-Men: Days of Future Past,"May 23, 2014"
42294,X-Men: First Class,"June 3, 2011"
32217,Zootopia,"March 4, 2016"